867,25,38,14.786000,8.00,2,2,2
freq,site_01,site_02,site_03,site_04,site_05,site_06,site_07,site_08,site_09,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_17,site_18,site_19,site_20,site_21,site_22,site_23,site_24,site_25
0.000000,6.231964e-06,9.881326e-06,5.749782e-06,2.310073e-06,7.820367e-06,1.465410e-05,6.911054e-06,3.118589e-05,1.304976e-05,7.887600e-06,6.963380e-06,1.635562e-05,1.834747e-05,1.245941e-05,1.016845e-05,4.066092e-06,1.778783e-05,1.334521e-05,8.552042e-06,5.788370e-06,7.014121e-07,1.900820e-06,9.703197e-06,2.601450e-05,2.104382e-05
0.048828,3.707720e-05,2.884920e-05,1.512520e-05,2.644556e-05,1.545227e-05,9.672580e-06,1.348866e-05,1.182551e-05,6.450806e-06,1.438298e-05,7.017109e-06,3.735018e-06,1.329298e-05,1.203368e-05,2.098456e-05,4.918615e-06,3.617776e-06,8.050623e-06,4.373745e-06,3.001327e-06,2.350259e-06,4.151738e-06,2.059177e-06,2.623658e-06,6.673953e-06
0.097656,8.293713e-05,6.061135e-05,3.694617e-05,5.753597e-05,2.853658e-05,3.781575e-05,4.275972e-05,3.369451e-05,1.702928e-05,3.063853e-05,9.903699e-06,1.038392e-05,1.934384e-05,2.708163e-05,4.503103e-05,9.098210e-06,8.689287e-06,2.009175e-05,1.727625e-06,7.364208e-06,1.003936e-05,1.061175e-05,2.805252e-06,1.098016e-05,1.283037e-05
0.146484,1.321912e-04,8.775661e-05,6.200744e-05,7.953863e-05,3.958834e-05,8.182962e-05,7.611650e-05,7.898033e-05,2.787682e-05,3.349584e-05,6.694992e-06,2.295642e-05,1.265552e-05,1.739130e-05,3.623264e-05,2.197300e-05,1.588570e-05,2.950292e-05,9.048596e-06,7.080148e-06,2.451485e-05,8.701400e-06,5.778122e-06,1.877037e-05,1.567895e-05
0.195312,2.023399e-04,1.157301e-04,8.305848e-05,8.377850e-05,5.443524e-05,1.220438e-04,7.921087e-05,1.350820e-04,3.099054e-05,2.997197e-05,1.483316e-05,3.969398e-05,1.600287e-05,2.380674e-05,3.914235e-05,2.067359e-05,2.006126e-05,2.960950e-05,8.096362e-06,8.850584e-06,2.727782e-05,5.328630e-06,1.054759e-05,4.031582e-05,2.363907e-05
0.244141,3.055112e-04,1.520709e-04,1.009064e-04,8.642632e-05,8.046050e-05,1.341312e-04,4.056802e-05,1.715201e-04,3.042378e-05,6.728758e-05,3.217221e-05,3.517248e-05,2.631866e-05,6.097887e-05,4.920977e-05,2.541989e-05,2.643102e-05,2.930283e-05,6.150883e-06,1.686638e-05,6.400143e-06,1.524549e-05,1.239171e-05,4.910442e-05,3.071479e-05
0.292969,4.281948e-04,2.010402e-04,1.258542e-04,1.240149e-04,1.160792e-04,1.086935e-04,6.298698e-05,1.755633e-04,3.577860e-05,1.108789e-04,4.254380e-05,3.605414e-05,3.451565e-05,8.179606e-05,2.405955e-05,3.032253e-05,1.976550e-05,3.426185e-05,2.769233e-05,1.816233e-05,1.971162e-05,3.240354e-05,1.703025e-05,3.212178e-05,3.943770e-05
0.341797,5.240243e-04,2.600139e-04,1.605459e-04,1.761440e-04,1.467092e-04,1.253330e-04,1.041903e-04,1.579923e-04,4.271939e-05,1.278458e-04,4.671057e-05,5.540667e-05,2.337756e-05,4.853531e-05,4.437983e-05,4.444128e-05,1.989875e-05,5.340083e-05,3.393381e-05,2.439938e-05,2.561059e-05,4.903203e-05,1.828645e-05,2.351934e-05,6.093804e-05
0.390625,5.798302e-04,3.371308e-04,1.891893e-04,2.083242e-04,1.709800e-04,2.649585e-04,1.371017e-04,1.486222e-04,6.940154e-05,1.161371e-04,5.733888e-05,6.724355e-05,5.444111e-05,4.975490e-05,5.944311e-05,4.563754e-05,3.543593e-05,4.340952e-05,4.064479e-05,4.173528e-05,2.635774e-05,4.031454e-05,1.620041e-05,4.887073e-05,8.395680e-05
0.439453,5.937314e-04,4.242730e-04,1.908762e-04,2.007687e-04,2.038107e-04,3.955876e-04,2.057702e-04,1.579654e-04,1.084332e-04,1.016470e-04,6.904982e-05,8.112423e-05,7.302712e-05,5.383746e-05,9.620172e-05,4.639205e-05,2.007677e-05,2.704328e-05,2.190615e-05,5.832650e-05,3.883770e-05,6.286900e-05,1.773911e-05,3.979521e-05,1.266286e-04
