100,25,49,17.847757,8.25,1,2,2
freq,site_01,site_02,site_03,site_04,site_05,site_06,site_07,site_08,site_09,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_17,site_18,site_19,site_20,site_21,site_22,site_23,site_24,site_25
0.100000,3.085038e+16,5.794610e+16,4.033705e+16,2.796641e+16,3.331269e+16,3.301976e+16,3.128653e+16,2.359280e+16,2.611056e+16,2.170113e+16,1.703456e+16,1.156996e+16,1.253312e+16,1.081852e+16,1.418831e+16,1.003486e+16,1.319682e+16,7.287456e+15,4.924090e+15,8.101473e+15,5.235603e+15,9.168743e+15,7.018530e+15,5.257590e+15,5.385097e+15
0.106000,1.178490e+17,9.677589e+16,8.051526e+16,6.459109e+16,6.973642e+16,2.840598e+16,6.489455e+16,5.671402e+16,5.267843e+16,3.487975e+16,5.061385e+16,2.979392e+16,2.222205e+16,2.554886e+16,2.377197e+16,2.352235e+16,2.022681e+16,2.299762e+16,1.686146e+16,2.110021e+16,9.040833e+15,1.854702e+16,2.055513e+16,1.032704e+16,1.464933e+16
0.113000,5.523111e+16,5.227371e+16,5.251428e+16,6.249697e+16,5.027431e+16,3.732291e+16,3.351659e+16,2.984823e+16,2.206004e+16,2.440494e+16,1.553061e+16,2.082537e+16,1.962975e+16,2.183513e+16,1.545481e+16,1.395530e+16,1.716344e+16,1.188989e+16,7.019776e+15,1.077918e+16,8.236914e+15,6.078202e+15,7.913253e+15,7.045575e+15,7.190522e+15
0.121000,6.661724e+16,6.469962e+16,6.926483e+16,6.880282e+16,3.508840e+16,4.599801e+16,4.637166e+16,3.549103e+16,4.060661e+16,4.220119e+16,4.341862e+16,3.707049e+16,3.067441e+16,1.764154e+16,2.559571e+16,1.423890e+16,2.133961e+16,1.583026e+16,2.214094e+16,1.277691e+16,1.227732e+16,1.359620e+16,1.054376e+16,1.046769e+16,1.033946e+16
0.129000,2.776446e+17,1.767956e+17,2.404921e+17,8.843641e+16,1.996457e+17,1.670717e+17,1.062279e+17,9.368009e+16,9.842992e+16,5.466029e+16,6.197027e+16,6.246451e+16,6.972168e+16,9.470210e+16,6.015093e+16,6.100255e+16,4.325474e+16,7.608401e+16,5.056671e+16,3.046863e+16,3.043598e+16,4.747114e+16,4.228082e+16,2.758589e+16,2.948150e+16
0.137000,3.499368e+16,4.210064e+16,2.766826e+16,3.171197e+16,1.988168e+16,2.731073e+16,2.631725e+16,1.642430e+16,1.366842e+16,2.154935e+16,1.508457e+16,1.374582e+16,9.470441e+15,1.801866e+16,1.091148e+16,1.183940e+16,7.538192e+15,6.954794e+15,9.459735e+15,6.917407e+15,3.856043e+15,3.350594e+15,7.713985e+15,4.122237e+15,4.144547e+15
0.146000,1.191453e+17,1.228093e+17,6.128694e+16,6.300947e+16,1.046800e+17,6.895612e+16,4.981652e+16,7.709772e+16,6.346365e+16,4.982492e+16,5.700934e+16,4.181430e+16,3.844300e+16,5.657581e+16,2.890541e+16,2.197430e+16,2.683597e+16,2.257159e+16,1.759428e+16,1.777336e+16,7.929827e+15,1.677952e+16,1.903910e+16,1.429281e+16,1.415005e+16
0.155000,1.827297e+16,1.169078e+16,1.086081e+16,1.083688e+16,1.059875e+16,1.131368e+16,1.240275e+16,1.033901e+16,4.318599e+15,9.073110e+15,5.657236e+15,5.153523e+15,6.402301e+15,7.009942e+15,4.286121e+15,3.819636e+15,4.554157e+15,2.130249e+15,2.120046e+15,2.912631e+15,2.530566e+15,2.126313e+15,1.708823e+15,2.493982e+15,2.912458e+15
0.165000,8.915687e+16,1.250291e+17,6.932825e+16,8.088937e+16,8.511519e+16,6.834183e+16,7.236852e+16,5.817015e+16,3.798979e+16,4.305359e+16,4.183913e+16,4.090478e+16,2.285375e+16,2.169922e+16,4.188617e+16,2.341383e+16,3.197152e+16,2.368805e+16,2.121334e+16,1.992318e+16,1.164787e+16,1.835526e+16,2.838921e+16,2.087921e+16,1.536239e+16
0.176000,1.603728e+17,1.371454e+17,1.514244e+17,1.182417e+17,9.970230e+16,7.799565e+16,7.692696e+16,6.906552e+16,6.845344e+16,1.088230e+17,7.102944e+16,5.741294e+16,5.033551e+16,6.726002e+16,4.304832e+16,2.193967e+16,2.869617e+16,3.978352e+16,3.188167e+16,2.411784e+16,2.163107e+16,1.736772e+16,1.984749e+16,1.622828e+16,1.932525e+16
0.187000,3.999681e+16,3.239168e+16,3.480378e+16,3.850141e+16,4.690456e+16,1.928906e+16,1.747084e+16,2.330809e+16,2.709706e+16,1.134957e+16,1.190966e+16,1.322683e+16,1.330376e+16,1.181131e+16,1.332118e+16,1.268413e+16,5.482258e+15,9.221053e+15,6.602429e+15,7.528012e+15,5.316822e+15,3.926899e+15,4.826817e+15,6.510548e+15,4.393060e+15
0.199000,2.638390e+16,1.823344e+16,2.438293e+16,1.470017e+16,2.391062e+16,1.930319e+16,1.749127e+16,9.778487e+15,1.729415e+16,1.436015e+16,1.508691e+16,8.013152e+15,8.359717e+15,1.045144e+16,1.211535e+16,8.031191e+15,6.479815e+15,4.643533e+15,3.643818e+15,3.912904e+15,3.330272e+15,3.267886e+15,4.169833e+15,3.068321e+15,3.795803e+15
0.212000,4.241998e+16,4.097608e+16,2.972887e+16,3.712515e+16,4.109437e+16,1.681700e+16,1.437342e+16,1.508130e+16,1.686818e+16,1.266006e+16,2.297544e+16,1.293696e+16,1.356317e+16,1.272806e+16,1.692991e+16,1.264215e+16,1.204588e+16,5.472683e+15,1.128363e+16,7.904285e+15,4.419829e+15,5.043279e+15,5.310097e+15,2.356889e+15,4.155906e+15
