1634,25,33,13.755000,8.25,1,2,2
freq,site_01,site_02,site_03,site_04,site_05,site_06,site_07,site_08,site_09,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_17,site_18,site_19,site_20,site_21,site_22,site_23,site_24,site_25
0.097656,4.301490e-05,1.111496e-04,2.621337e-04,3.103352e-04,2.850066e-04,3.122316e-04,2.350889e-04,2.923333e-04,4.992117e-04,3.315225e-04,3.293698e-04,2.942834e-04,3.231677e-04,7.619395e-04,1.738030e-04,1.614825e-04,2.209590e-04,3.012194e-04,7.965161e-04,2.441789e-04,3.597138e-04,1.389474e-04,1.923896e-04,1.986224e-04,1.217686e-04
0.122070,3.331769e-05,9.522173e-05,1.653264e-04,2.013809e-04,1.820747e-04,1.794522e-04,1.709227e-04,1.772416e-04,2.846869e-04,2.238648e-04,1.423740e-04,1.841059e-04,2.182395e-04,5.126727e-04,1.156459e-04,1.511542e-04,1.728444e-04,2.702986e-04,3.076757e-04,1.564962e-04,2.452751e-04,8.047031e-05,1.387037e-04,1.103360e-04,9.360250e-05
0.146484,6.185315e-05,2.093285e-04,2.707911e-04,3.547821e-04,2.787935e-04,2.709300e-04,3.662151e-04,2.728638e-04,4.673581e-04,4.051444e-04,2.365281e-04,3.121437e-04,3.953269e-04,9.096929e-04,2.024602e-04,3.690861e-04,3.278488e-04,6.013905e-04,3.140393e-04,2.749923e-04,3.893538e-04,1.215243e-04,2.415859e-04,1.553682e-04,1.815661e-04
0.170898,6.446966e-05,2.560055e-04,2.824841e-04,3.638143e-04,2.801996e-04,2.594351e-04,4.377435e-04,2.550933e-04,5.074575e-04,4.466369e-04,2.815437e-04,3.272820e-04,3.990466e-04,9.707643e-04,2.076296e-04,4.272674e-04,3.126338e-04,5.835170e-04,2.039383e-04,2.790797e-04,3.342494e-04,1.193499e-04,2.139170e-04,1.304190e-04,1.892131e-04
0.195312,8.717882e-05,3.745369e-04,3.968682e-04,4.537163e-04,4.000042e-04,3.404568e-04,6.114150e-04,3.013597e-04,7.056359e-04,5.778353e-04,3.959362e-04,4.082998e-04,4.401788e-04,1.191911e-03,2.567944e-04,5.085811e-04,3.332212e-04,5.705117e-04,1.815446e-04,3.354696e-04,3.476705e-04,1.614852e-04,2.141502e-04,1.355079e-04,2.153586e-04
0.219727,1.413196e-04,5.888477e-04,6.537883e-04,6.293958e-04,6.903982e-04,5.701085e-04,9.725276e-04,4.364168e-04,1.162488e-03,8.436358e-04,6.023025e-04,5.456527e-04,4.897632e-04,1.477633e-03,3.512392e-04,6.318043e-04,4.047300e-04,6.072134e-04,2.097214e-04,4.532695e-04,4.040268e-04,2.509124e-04,2.263071e-04,1.554971e-04,2.417701e-04
0.244141,2.111034e-04,7.763554e-04,9.527556e-04,7.471244e-04,1.026853e-03,8.728244e-04,1.322891e-03,5.851035e-04,1.687402e-03,1.081929e-03,8.025364e-04,6.707857e-04,4.886435e-04,1.583270e-03,4.446176e-04,6.709044e-04,4.424390e-04,5.701131e-04,2.320472e-04,5.154869e-04,4.076578e-04,3.291429e-04,2.064301e-04,1.671077e-04,2.334241e-04
0.268555,1.727623e-04,5.304619e-04,7.426894e-04,4.755049e-04,7.895272e-04,7.197148e-04,9.373356e-04,4.196556e-04,1.231864e-03,7.080213e-04,5.469703e-04,4.513776e-04,2.823539e-04,9.419601e-04,3.332832e-04,3.815490e-04,2.457941e-04,2.620988e-04,1.310210e-04,2.948076e-04,2.243161e-04,2.204419e-04,1.013966e-04,9.819724e-05,1.165150e-04
0.292969,2.008737e-04,5.067588e-04,8.169162e-04,4.413907e-04,8.404953e-04,8.688171e-04,9.702989e-04,4.543979e-04,1.278575e-03,6.681389e-04,5.384517e-04,4.271666e-04,2.429371e-04,7.992942e-04,3.715895e-04,3.166624e-04,1.842562e-04,1.578600e-04,9.904818e-05,2.261166e-04,1.824835e-04,2.064003e-04,7.466129e-05,8.986672e-05,8.865665e-05
0.317383,2.359747e-04,4.951657e-04,9.074707e-04,4.291986e-04,8.877295e-04,1.068652e-03,1.040301e-03,5.358039e-04,1.380692e-03,6.620201e-04,5.692330e-04,4.080249e-04,2.139321e-04,6.622399e-04,3.975652e-04,2.737468e-04,1.383887e-04,9.199185e-05,6.766196e-05,1.698669e-04,1.718365e-04,2.139604e-04,6.446378e-05,9.590415e-05,7.841196e-05
