61,25,31,13.6680002,8.25000000,1,1,2
freq,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_17,site_18,site_19,site_20,site_21,site_22,site_23,site_24,site_25
0.00000000,3.64154720,3.47156763,3.34106827,3.33283257,3.36706161,3.52518749,3.44215536,3.37208748,3.03982425,3.24244261,3.02220130,3.16335630,3.04940796,3.07311583,3.08569765,2.88797593,2.88182998,2.81813669,2.62702990,2.92204475,2.64627075,2.55411506,2.51999760,2.76494503,2.76995206
0.500000000,3.58107471,3.42044067,3.27252316,3.24391222,3.29708004,3.44748068,3.35408354,3.28899670,2.94061279,3.15552568,2.94273734,3.08342934,2.95489407,3.00517511,2.98848963,2.80090904,2.80245638,2.73529482,2.55391550,2.81525040,2.52631259,2.46663833,2.42885828,2.64287186,2.64769650
1.00000000,3.52749968,3.37525463,3.21179771,3.16565800,3.23498225,3.37849474,3.27625036,3.21513677,2.85322094,3.07835913,2.87184238,3.01184940,2.87070918,2.94401789,2.90187907,2.72254467,2.73065758,2.66037560,2.48747063,2.71921778,2.41880322,2.38697910,2.34592128,2.53321409,2.53784275
1.50000000,3.48990750,3.34516788,3.16789579,3.10676098,3.18976736,3.32714534,3.21740222,3.15937328,2.78619862,3.01975107,2.81845427,2.95758295,2.80560446,2.89875293,2.83458877,2.66182804,2.67548847,2.60240626,2.43683076,2.64269495,2.33230305,2.32419968,2.28021765,2.44455719,2.44898033
2.00000000,3.38138342,3.24333382,3.05382681,2.97994900,3.07444048,3.20636368,3.09031630,3.03459048,2.65214849,2.89253378,2.69552279,2.83360386,2.67236137,2.78248596,2.69937468,2.53171420,2.55000663,2.47441697,2.31512761,2.49845886,2.17942047,2.19136190,2.14478040,2.28953052,2.29374290
2.50000000,3.30357409,3.17146254,2.97116756,2.88654518,2.99057341,3.11765385,2.99635887,2.94225025,2.55228233,2.79812288,2.60456944,2.74145651,2.57235050,2.69688177,2.59758377,2.43372917,2.45583105,2.37800241,2.22404885,2.38787317,2.06137037,2.09008837,2.04120588,2.16936636,2.17336512
3.00000000,3.24942803,3.12256241,2.91280365,2.81920695,2.93104815,3.05383611,2.92822647,2.87513447,2.47915959,2.72925854,2.53842974,2.67399740,2.49827003,2.63490772,2.52189469,2.36071301,2.38588667,2.30606461,2.15658283,2.30363107,1.97071147,2.01330590,1.96239614,2.07663870,2.08042383
3.50000000,3.21196270,3.08970547,2.87169290,2.77068615,2.88881874,3.00780821,2.87870598,2.82610703,2.42544580,2.67876625,2.49001598,2.62415648,2.44290972,2.58959675,2.46507835,2.30558062,2.33316612,2.25157547,2.10578132,2.23851466,1.90010667,1.95400929,1.90132260,2.00402236,2.00759602
4.00000000,3.23953104,3.12129569,2.89613438,2.78909731,2.91218090,3.02781487,2.89594173,2.84338093,2.43917894,2.69482613,2.50758529,2.64020848,2.45441580,2.60931587,2.47526526,2.31659174,2.34599972,2.26284623,2.12002897,2.24066329,1.89758837,1.96052885,1.90629494,1.99955964,2.00292563
4.50000000,3.07968807,2.96493602,2.73363352,2.62177992,2.74863696,2.86131191,2.72730064,2.67438507,2.26763129,2.52483559,2.33860540,2.46963596,2.28015733,2.44163442,2.29980898,2.14121580,2.17192173,2.08739328,1.94691026,2.05743718,1.71042204,1.78039825,1.72482705,1.81052399,1.81368792
