%Nevents		
%evN lmo Mw		
50		
1  11.36  1.54
2  11.381 1.554
3  11.445 1.5967
4  11.49  1.6267
5  11.509 1.6393
6  11.541 1.6607
7  11.614 1.7093
8  11.679 1.7527
9  11.764 1.8093
10 11.819 1.846
11 11.871 1.8807
12 11.889 1.8927
13 11.981 1.954
14 12.143 2.062
15 12.185 2.09
16 12.186 2.0907
17 12.317 2.178
18 12.344 2.196
19 12.486 2.2907
20 12.569 2.346
21 12.638 2.392
22 12.670 2.4133
23 12.804 2.5027
24 12.826 2.5173
25 12.875 2.55
26 13.153 2.7353
27 13.330 2.8533
28 13.431 2.9207
29 13.495 2.9633
30 13.547 2.998
31 13.668 3.0787
32 13.700 3.10
33 13.755 3.1367
34 13.812 3.1747
35 13.858 3.2053
36 14.023 3.3153
37 14.424 3.5827
38 14.786 3.824
39 14.881 3.8873
40 15.065 4.01
41 15.184 4.0893
42 15.343 4.1953
43 15.567 4.3447
44 15.918 4.5787
45 16.215 4.7767
46 16.692 5.0947
47 17.003 5.302
48 17.355 5.5367
49 17.848 5.8653
50 18.016 5.9773
